"id","uuid","cultivo","predio","enfermedad","riesgo","lat","lng","biomasa","fecha_inicio_analisis","fecha_termino_analisis","productos"
22052,e201a000-83e9-11ee-9917-790293b3e81d,agave,gfam,Fusarium,bajo,20.2337647949049,-102.2543210096,0.0,2022-06-17 00:00:00.000,2022-06-23 00:00:00.000,"{"" ""}"
22059,e201a000-83e9-11ee-9917-790293b3e81d,agave,gfam,Fusarium,bajo,20.2337647949049,-102.2543210096,0.0,2022-10-28 00:00:00.000,2022-11-03 00:00:00.000,"{"" ""}"
22071,e201a000-83e9-11ee-9917-790293b3e81d,agave,gfam,Fusarium,bajo,20.2337647949049,-102.2543210096,0.0,2022-09-01 00:00:00.000,2022-09-07 00:00:00.000,"{"" ""}"
22082,e201a000-83e9-11ee-9917-790293b3e81d,agave,gfam,Fusarium,bajo,20.2337647949049,-102.2543210096,0.0,2022-11-01 00:00:00.000,2022-11-07 00:00:00.000,"{"" ""}"
22093,e201a000-83e9-11ee-9917-790293b3e81d,agave,gfam,Fusarium,bajo,20.2337647949049,-102.2543210096,0.0,2022-08-01 00:00:00.000,2022-08-07 00:00:00.000,"{"" ""}"
22101,e201a000-83e9-11ee-9917-790293b3e81d,agave,gfam,Fusarium,bajo,20.2337647949049,-102.2543210096,0.0,2023-05-13 00:00:00.000,2023-05-19 00:00:00.000,"{"" ""}"
22112,e201a000-83e9-11ee-9917-790293b3e81d,agave,gfam,Fusarium,bajo,20.2337647949049,-102.2543210096,0.0,2023-04-01 00:00:00.000,2023-04-07 00:00:00.000,"{"" ""}"
22124,e201a000-83e9-11ee-9917-790293b3e81d,agave,gfam,Fusarium,bajo,20.2337647949049,-102.2543210096,0.0,2023-07-09 00:00:00.000,2023-07-15 00:00:00.000,"{"" ""}"
22132,e201a000-83e9-11ee-9917-790293b3e81d,agave,gfam,Fusarium,bajo,20.2337647949049,-102.2543210096,0.0,2023-04-27 00:00:00.000,2023-05-03 00:00:00.000,"{"" ""}"
22142,e201a000-83e9-11ee-9917-790293b3e81d,agave,gfam,Fusarium,bajo,20.2337647949049,-102.2543210096,0.0,2023-10-13 00:00:00.000,2023-10-19 00:00:00.000,"{"" ""}"
22157,e201a000-83e9-11ee-9917-790293b3e81d,agave,gfam,Fusarium,bajo,20.2337647949049,-102.2543210096,0.0,2023-10-28 00:00:00.000,2023-11-03 00:00:00.000,"{"" ""}"
22168,e201a000-83e9-11ee-9917-790293b3e81d,agave,gfam,Fusarium,bajo,20.2337647949049,-102.2543210096,0.0,2023-11-17 00:00:00.000,2023-11-23 00:00:00.000,"{"" ""}"
22170,e201a000-83e9-11ee-9917-790293b3e81d,agave,gfam,Fusarium,bajo,20.2337647949049,-102.2543210096,0.0,2023-12-17 00:00:00.000,2023-12-23 00:00:00.000,"{"" ""}"
22180,e201a000-83e9-11ee-9917-790293b3e81d,agave,gfam,Fusarium,bajo,20.2337647949049,-102.2543210096,0.0,2024-01-17 00:00:00.000,2024-01-23 00:00:00.000,"{"" ""}"
21701,"3aef9d30-522a-11ee-9742-2d533c206ccf",banano,dona_chona_tecoman,Sigatoka_Negra,bajo,18.8670762036792,-103.89656334595,0.0,2023-08-09 00:00:00.000,2023-08-15 00:00:00.000,{soldier}
21709,"6e822e30-a3fe-11ee-af3c-a5ed934e44de",papa,agricola_tepachoipa,Tizon_Tardio,alto,25.4945050903481,-108.35157704705,0.0,2023-01-09 00:00:00.000,2023-01-15 00:00:00.000,{zignal}
21719,"3aef9d30-522a-11ee-9742-2d533c206ccf",banano,dona_chona_tecoman,Sigatoka_Negra,bajo,18.8670762036792,-103.89656334595,0.0,2023-07-28 00:00:00.000,2023-08-03 00:00:00.000,{soldier}
21728,"3aef9d30-522a-11ee-9742-2d533c206ccf",banano,dona_chona_tecoman,Sigatoka_Negra,bajo,18.8670762036792,-103.89656334595,0.0,2023-10-17 00:00:00.000,2023-10-23 00:00:00.000,{soldier}
21741,"3aef9d30-522a-11ee-9742-2d533c206ccf",banano,dona_chona_tecoman,Sigatoka_Negra,bajo,18.8670762036792,-103.89656334595,0.0,2023-10-01 00:00:00.000,2023-10-07 00:00:00.000,{soldier}
21751,"6e822e30-a3fe-11ee-af3c-a5ed934e44de",papa,agricola_tepachoipa,Tizon_Tardio,alto,25.4945050903481,-108.35157704705,0.0,2022-11-27 00:00:00.000,2022-12-03 00:00:00.000,{zignal}
21762,"3aef9d30-522a-11ee-9742-2d533c206ccf",banano,dona_chona_tecoman,Sigatoka_Negra,bajo,18.8670762036792,-103.89656334595,0.0,2023-10-28 00:00:00.000,2023-11-02 00:00:00.000,{soldier}
21772,"6e822e30-a3fe-11ee-af3c-a5ed934e44de",papa,agricola_tepachoipa,Tizon_Tardio,bajo,25.4945050903481,-108.35157704705,0.0,2023-06-01 00:00:00.000,2023-06-07 00:00:00.000,{zignal}
21782,"6e822e30-a3fe-11ee-af3c-a5ed934e44de",papa,agricola_tepachoipa,Tizon_Tardio,alto,25.4945050903481,-108.35157704705,0.0,2023-06-13 00:00:00.000,2023-06-19 00:00:00.000,{zignal}
21791,"6e822e30-a3fe-11ee-af3c-a5ed934e44de",papa,agricola_tepachoipa,Tizon_Tardio,alto,25.4945050903481,-108.35157704705,0.0,2023-08-21 00:00:00.000,2023-08-27 00:00:00.000,{zignal}
21801,"6e822e30-a3fe-11ee-af3c-a5ed934e44de",papa,agricola_tepachoipa,Tizon_Tardio,bajo,25.4945050903481,-108.35157704705,0.0,2023-09-05 00:00:00.000,2023-09-11 00:00:00.000,{zignal}
21812,"6e822e30-a3fe-11ee-af3c-a5ed934e44de",papa,agricola_tepachoipa,Tizon_Tardio,alto,25.4945050903481,-108.35157704705,0.0,2023-11-17 00:00:00.000,2023-11-23 00:00:00.000,{zignal}
21820,"6e822e30-a3fe-11ee-af3c-a5ed934e44de",papa,agricola_tepachoipa,Tizon_Tardio,alto,25.4945050903481,-108.35157704705,0.0,2023-12-28 00:00:00.000,2024-01-03 00:00:00.000,{zignal}
21831,"6e822e30-a3fe-11ee-af3c-a5ed934e44de",papa,agricola_tepachoipa,Tizon_Tardio,alto,25.4945050903481,-108.35157704705,0.0,2023-11-01 00:00:00.000,2023-11-07 00:00:00.000,{zignal}
21841,"5b4c5220-69f0-11ee-8e3e-b79e90629172",agave,eleno_reynoso_la_purisima,Fusarium,bajo,20.7436262672655,-103.04219329755,0.0,2022-02-01 00:00:00.000,2022-02-07 00:00:00.000,"{"" ""}"
21852,"5b4c5220-69f0-11ee-8e3e-b79e90629172",agave,eleno_reynoso_la_purisima,Fusarium,bajo,20.7436262672655,-103.04219329755,0.0,2022-03-09 00:00:00.000,2022-03-15 00:00:00.000,"{"" ""}"
21862,"5b4c5220-69f0-11ee-8e3e-b79e90629172",agave,eleno_reynoso_la_purisima,Fusarium,bajo,20.7436262672655,-103.04219329755,0.0,2022-06-05 00:00:00.000,2022-06-11 00:00:00.000,"{"" ""}"
21866,"5b4c5220-69f0-11ee-8e3e-b79e90629172",agave,eleno_reynoso_la_purisima,Fusarium,bajo,20.7436262672655,-103.04219329755,0.0,2022-08-09 00:00:00.000,2022-08-15 00:00:00.000,"{"" ""}"
21881,"5b4c5220-69f0-11ee-8e3e-b79e90629172",agave,eleno_reynoso_la_purisima,Fusarium,bajo,20.7436262672655,-103.04219329755,0.0,2022-10-05 00:00:00.000,2022-10-11 00:00:00.000,"{"" ""}"
